Title,Content
emotion control,"If you are not aware of your feelings you are guided, you will not be able to express your needs and experiences.
This can result in frustration, misunderstanding, and conflict.
Control of emotions provides you with tools to understand others, yourself, and the messages you send.
"
mail,"If you can keep an email to less than 2 or 3 sentences, it’s much easier to read it right then.
If your email is longer than a paragraph or two, people will often put off reading it and it will probably take you longer to get a response.
"
mail,"It’s easier to read emails that are broken down into one or two sentences per paragraph than long paragraphs.
"
mail,"Nothing drives people crazier than an email where someone sends over a lot of information but doesn’t say what they’d like you to do. 
I often respond to those immediately by asking: What do you want me to do?
Do you want me introduce you to someone?
Do you want me to read your blog post and give you feedback?
Do you want me to respond with whether I’ll be able to attend an event? Be clear and say it explicitly up front.
"
mail,"It’s so easy these days to send off an email in 30 seconds that would take someone over an hour to respond to.
Please don’t tell me to go to your startup’s website and give you feedback. 
To actually give your product or website a thorough review and analyze it in a way that is useful actually takes a lot of work.
If I can respond to something in less than two minutes, I’ll do it immediately.
What do you want feedback on? The business model? The color of your button? The text? Be specific and reasonable.
"
mail," I often respond to those immediately by asking: What do you want me to do?
Do you want me introduce you to someone?
Do you want me to respond with whether I’ll be able to attend an event? Be clear and say it explicitly up front.
"
decision making,"We tend to believe that the things we do will work out for us, and therefore we have a bias toward action.
This means that we sometimes make changes that don’t need to be made and create complications where none are needed.
"
decision making,"Also known as the “status-quo bias,” self-interest bias is when we have a tendency to like and expect things to stay the same.
Deep down, we prefer the world to match our perception of how we think things work.
"
decision making,"As humans, we love patterns. Patterns are comfortable. They make us feel like there is sense and order in the world.
As a result, we have a tendency to imagine patterns where none actually exist.
"
decision making,"Our tendency is to stick with the herd, go with the flow, and generally stay out of other people’s way.
We’d love it if we could rise to the top of the pack, but very few of us are willing to ruffle feathers in order to get there.
"
decision making,"Most of us work nine-to-five jobs, because we are uncomfortable with the prospect of working for ourselves and not knowing where our next paycheck is coming from.
While this isn’t always the case for designers, we still favor stability in many ways.
It’s why we always order the same things at our go-to restaurants and stay in the town where we grew up.
"
decision making,"Technical decision making isn’t so much about which tool to pick than what problem to solve. Once the problem space has been well defined, then evaluating the possible solutions becomes a lot easier.
Having a solid grasp of the problem one actually needs solving can be a lot harder than one might acknowledge, especially so when a large number of well-evangelized “solutions” are up for grabs.
"
decision making,"What’s particularly challenging about deciding what problem to solve is prioritization. 
At any given time, there is probably a laundry list of things that are “broken” or suboptimal. 
Prioritization becomes easy when we have a full understanding of all the problems we’re trying to rank in order of priority.
"
decision making,"Patterns are comfortable. They make us feel like there is sense and order in the world.
As a result, we have a tendency to imagine patterns where none actually exist.
"
decision making,"If you struggled with decision-making before, living entirely within the walls of your home probably hasn’t made things any easier. 
Everyone’s chronic indecision looks a little different: Maybe you have a fear of responsibility.
Or maybe you’re a perfectionist, and the idea of making the wrong decision sends your anxiety through the roof.
Whatever it looks like, it’s frustrating when your own brain holds you in limbo: You can see all the possible paths laid out ahead, but you’re frozen in front of them.
"
decision making,"Preparation is key for doing well at whatever it is you’re trying to do.
It’s why athletes practice, actors rehearse, and writers read.
The reason preparation is so critical is that it conditions your mind and body to perform in situations where others are not so conditioned.
But the real power in preparation lies in how preparation makes you more likely to perform well.
"
decision making,"Implicit in any decision is the belief that the option you choose has the highest probability of working out better for you than the options you don’t choose.
Therefore, even if you aren’t explicitly thinking about the set of possibilities, your preferences, and the probabilities, you are still making these estimates.
"
decision making,"Optimizing your instinctual decision-making isn’t easy. But it is the next step in you evolution, and reaching the next version of yourself depends on its mastery.

The repetition will become tedious. You will want to give up.
But mastering yourself requires strict diligence, brutal honesty, and intense focus on your journey.
"
decision making,"Separating getting clarify on the proposal, giving everyone an opportunity to be heard (react) and dealing with material objections into three separate activities.
They address three separate needs for the people who are engaging with the proposal and deal with each one separately.
"
decision making,"Defining a valid objection as something that would “cause harm or move us backward”. 
This is typically where consensus-based decision making tends to fail.
And also somewhat related to Fred Wilson’s recent post on satisficing — by setting an agreed-upon acceptable threshold for proposals, we can avoid some of the major pitfalls that cause important decision-making processes to stall.
"
relationship building,"Your actions, not words, demonstrate a desire to learn about someone."
relationship building,"Whenever possible, use reversals to gather information and keep the conversation focused on them."
relationship building,Use that knowledge to point out the greatness they never knew they possessed.
conversation,"What I seem to notice, increasingly, is the poor quality of conversations today.
Perhaps the ubiquity of social media, texting and digital communication has made us all impatient, distracted, rude conversationalists. 
We tend to talk at one another rather than with one another.
"
conversation,"How people converse tells you a lot about them. Egocentric people like everything to be about them, so they steer conversations back to their favorite topic: themselves.
Shy, reserved people tend to listen more, but also fail to jump in and share. 
As a result, they get steamrolled in conversations.
Boisterous, overconfident people think they know everything and interrupt frequently to share their “brilliance.”
Insecure people sometimes play the “one-upmanship” game, needing to go one better than whatever your accomplishment or success might have been.
"
conversation,"What follows are some helpful guidelines to improve your conversations.
Learn and employ these tips, and watch what happens. 
You may find people seeking you out more for coffee, lunch or just to talk.
People will start speaking highly of you, as someone who really listens and converses well.
"
conversation,"Some people just have to do you one better.
Mention your promotion at work, and they’ll have to tell you about theirs, and why it’s more remarkable.
Talk about how proud you are of your kid, and they’ll mention something better about their kid.
It’s a twisted kind of insecurity. Like they have to compete with you.
"
conversation,"Shy, reserved people tend to listen more, but also fail to jump in and share. 
As a result, they get steamrolled in conversations.
Boisterous, overconfident people think they know everything and interrupt frequently to share their “brilliance.”
Insecure people sometimes play the “one-upmanship” game, needing to go one better than whatever your accomplishment or success might have been.
"
time management,"Time management is the ability to use your time productively and efficiently. 
You could also think of it as the art of having time to do everything that you need, without feeling stressed about it.
It sounds simple, but it is much harder in practice. This page explains some of the principles behind good time management.
"
time management,"Time management is defined as using your time productively and efficiently—but what about when you are working as productively as possible, and you still can’t get everything done?
It may be better to think about time management as a combination of working productively and prioritising your time.
"
time management,"This distinction between urgent and important is the key to prioritising your time and your workload, whether at work, at home or when studying.
It enables you to work out what to do first, and what can be left either until later, or not done at all.
For example, if you leave an urgent but unimportant task, you may find that it becomes unnecessary.
"
time management,"You could also think of it as the art of having time to do everything that you need, without feeling stressed about it.
It sounds simple, but it is much harder in practice. This page explains some of the principles behind good time management.
"
